sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
USGS_5,2018-03-12,16:45,MICROZOOPLANKTON & NAUPLII,Rotifers,97.0,1.0,26,3,26.0,1
USGS_5,2018-03-12,16:45,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,423.0,1.0,26,3,26.0,1
USGS_5,2018-03-12,16:45,CYCLOPOIDS,Cyclopoid copepodid,63.0,1.0,26,3,26.0,1
USGS_5,2018-03-12,16:45,CALANOIDS,Calanoid copepodid,85.0,1.0,26,3,26.0,1
USGS_5,2018-03-12,16:45,CALANOIDS,Eurytemora affinis adult,1.0,1.0,26,3,26.0,1
USGS_5,2018-03-12,16:45,CLADOCERA,Alonella,1,1.0,26,3,26.0,1
USGS_5,2018-03-12,16:45,CLADOCERA,Bosmina,7,1.0,26,3,26.0,1
USGS_5,2018-03-12,16:45,CLADOCERA,Chydorus,79,1.0,26,3,26.0,1
USGS_5,2018-03-12,16:45,CLADOCERA,Disparalona,1,1.0,26,3,26.0,1
USGS_5,2018-03-12,16:45,CLADOCERA,Graptoleberis,2,1.0,26,3,26.0,1
USGS_5,2018-03-12,16:45,CLADOCERA,Picripleuroxus,5,1.0,26,3,26.0,1
USGS_5,2018-03-12,16:45,CLADOCERA,Simocephalus,2,1.0,26,3,26.0,1
USGS_5,2018-03-12,16:45,HARPACTICOIDS,Harpacticoids,1,1.0,26,3,26.0,1
