"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"FI-WAT-1",2017-10-30,"15:00","MICROZOOPLANKTON","Rotifers",3,1,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","MICROZOOPLANKTON","Barnacles",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","MICROZOOPLANKTON","Copepod nauplii",305,1,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","MICROZOOPLANKTON","Ostracods",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Cyclopoid adult",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Cyclopoid copepodid",27,1,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Diacyclops thomasi",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Ectocyclops phaleratus",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Eucyclops prionophorus",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Limnoithona copepodid",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Limnoithona sinensis",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Limnoithona spp.",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Limnoithona tetraspina",2,1,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Macrocyclops albidus",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Mesocyclops edax",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Microcyclops rubellus",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Monospilus",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Oithona copepodid",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Oithona davisae",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Oithona similis",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Oithona spp.",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CYCLOPOIDS","Paracyclops poppei",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Acartia copepodid",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Acartia spp.",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Acartiella copepodid",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Acartiella sinensis",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Calanoid copepodid",196,1,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Diaptomus copepodid",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Diaptomus spp.",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Eurytemora affinis adult",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Eurytemora affinis copepodid",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Osphranticum copepodid",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Osphranticum labronectum",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Pseudodiaptomus forbesi adult",8,1,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Pseudodiaptomus forbesi copepodid",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Sinocalanus doerrii adult",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Sinocalanus doerrii copepodid",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Skistodiaptomus pallidus",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Tortanus copepodid",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CALANOIDS","Tortanus spp.",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CLADOCERA","Alona",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CLADOCERA","Alonella",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CLADOCERA","Bosmina",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CLADOCERA","Camptocercus",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CLADOCERA","Ceriodaphnia",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CLADOCERA","Chydorus",1,1,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CLADOCERA","Daphnia",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CLADOCERA","Diaphanosoma",0,0,63,NA,63,NA
"FI-WAT-1",2017-10-30,"15:00","CLADOCERA","Disparalona",0,0,63,NA,63,NA
